-2.4729506,0.2699055,4.9136676
-2.5958323,0.4270216,4.8986330
-2.7147028,0.5870746,4.8847312
-2.8296210,0.7501117,4.8720178
-2.9404919,0.9160606,4.8605349
-3.0472454,1.0849259,4.8503101
-3.1494152,1.2560457,4.8417985
-3.2471735,1.4297714,4.8346505
-3.3404890,1.6061586,4.8287680
-3.4292718,1.7851607,4.8241064
-3.5131679,1.9661297,4.8209523
-3.5921804,2.1490843,4.8191454
-3.6664280,2.3343562,4.8183683
-3.7358310,2.5218429,4.8185595
-3.8000008,2.7104646,4.8201204
-3.8591919,2.9008994,4.8225468
-3.9134021,3.0931837,4.8256972
-3.9624445,3.2866260,4.8297424
-4.0063142,3.4810610,4.8345789
-4.0451323,3.6769497,4.8398984
-4.0788054,3.8737681,4.8457786
-4.1072922,4.0710244,4.8522106
-4.1307088,4.2693168,4.8589071
-4.1490111,4.4681384,4.8659104
-4.1622012,4.6670440,4.8731503
-4.1703443,4.8665576,4.8804672
-4.1734385,5.0661150,4.8878515
-4.1715203,5.2655214,4.8951688
-4.1646109,5.4651064,4.9024087
-4.1527569,5.6642384,4.9094369
-4.1359854,5.8630286,4.9161784
-4.1143037,6.0615736,4.9227190
-4.0878095,6.2592098,4.9286961
-4.0564807,6.4563002,4.9342989
-4.0203563,6.6526540,4.9395139
-3.9795305,6.8478689,4.9439164
-3.9339639,7.0422055,4.9479172
-3.8837418,7.2353275,4.9512066
-3.8288953,7.4271595,4.9537023
-3.7694250,7.6177102,4.9557451
-3.7054315,7.8066677,4.9566974
-3.6368978,7.9940900,4.9570285
-3.5638767,8.1798185,4.9567121
-3.4864228,8.3637035,4.9552496
-3.4045497,8.5456953,4.9532782
-3.3183142,8.7256424,4.9503412
-3.2277419,8.9034639,4.9465509
-3.1328973,9.0790032,4.9422556
-3.0337793,9.2522262,4.9367405
-2.9304704,9.4229498,4.9306998
-2.8230173,9.5910610,4.9239643
-2.7114076,9.7565336,4.9162835
-2.5957828,9.9191159,4.9081681
-2.4761053,10.0788170,4.8992184
-2.3524598,10.2354738,4.8896766
-2.2249919,10.3888630,4.8797489
-2.0935371,10.5391302,4.8689802
-1.9583733,10.6859053,4.8579019
-1.8195178,10.8291312,4.8463992
-1.6769017,10.9688255,4.8343912
-1.5308176,11.1046559,4.8221638
-1.3811663,11.2366722,4.8095827
-1.2280617,11.3647227,4.7967773
-1.0717513,11.4885635,4.7838441
-0.9120240,11.6083170,4.7707424
-0.7492083,11.7236911,4.7576208
-0.5834591,11.8345413,4.7444823
-0.4145067,11.9409884,4.7314630
-0.2428282,12.0426692,4.7185676
-0.0684866,12.1395267,4.7058323
0.1086722,12.2316361,4.6934971
0.2881512,12.3187126,4.6814345
0.4699839,12.4007501,4.6697801
0.6541994,12.4777240,4.6588026
0.8403439,12.5494163,4.6482807
1.0284738,12.6158281,4.6384744
1.2185418,12.6769105,4.6296553
1.4101047,12.7325011,4.6215234
1.6032247,12.7826048,4.6144600
1.7978298,12.8271800,4.6087766
1.9934617,12.8661133,4.6040685
2.1901584,12.8994129,4.6007817
2.3878936,12.9270656,4.5993532
2.5861661,12.9490081,4.5992067
2.7849503,12.9652594,4.6007099
2.9843544,12.9758396,4.6045949
3.1838052,12.9807440,4.6100026
3.3831707,12.9800189,4.6170319
3.5827881,12.9736986,4.6268551
3.7819859,12.9618500,4.6382876
3.9806314,12.9445553,4.6513575
4.1789537,12.9218615,4.6669866
4.3765727,12.8938822,4.6846689
4.5732591,12.8607425,4.7041221
4.7690504,12.8225347,4.7257804
4.9639368,12.7793567,4.7501377
5.1575860,12.7313903,4.7762341
5.3499827,12.6787550,4.8039926
5.5411643,12.6215482,4.8336871
5.7309047,12.5599366,4.8640376
5.9191587,12.4939677,4.8948745
6.1059474,12.4236561,4.9261623
6.2908803,12.3492467,4.9584814
6.4742549,12.2707309,4.9917748
6.6561410,12.1881488,5.0261113
6.8358534,12.1018799,5.0623640
7.0137661,12.0118352,5.1000843
7.1900860,11.9179854,5.1390132
7.3642789,11.8207094,5.1795979
7.5363705,11.7201145,5.2215866
7.7068362,11.6160303,5.2644608
7.8752001,11.5088596,5.3084728
8.0413854,11.3987885,5.3534615
8.2059514,11.2855694,5.3989919
8.3683760,11.1696847,5.4452654
8.5287575,11.0512068,5.4920920
8.6875406,10.9299313,5.5392311
8.8441180,10.8064540,5.5868518
8.9989072,10.6805865,5.6347266
9.1521220,10.5522740,5.6827763
9.3031050,10.4222032,5.7311198
9.4525709,10.2898941,5.7795489
9.6003288,10.1556328,5.8280941
9.7462355,10.0196796,5.8767392
9.8906722,9.8818003,5.9254149
10.0333593,9.7423805,5.9741241
10.1745178,9.6013272,6.0227920
10.3142060,9.4586826,6.0714304
10.4522712,9.3147054,6.1198061
10.5889754,9.1692715,6.1244214
10.7242321,9.0225542,6.0360303
10.8580501,8.8744945,5.9482509
10.9903202,8.7250885,5.8607944
11.1210020,8.5742313,5.7741439
11.2499733,8.4219672,5.6879617
11.3771825,8.2682553,5.6024434
11.5025953,8.1129884,5.5180286
11.6259364,7.9561720,5.4341436
11.7471026,7.7975340,5.3514942
11.8658339,7.6370779,5.2694899
11.9818293,7.4748769,5.1880666
12.0952080,7.3103926,5.1073830
12.2053798,7.1441004,5.0268743
12.3123320,6.9756315,4.9465991
12.4158891,6.8048230,4.8664583
12.5154527,6.6322238,4.7865335
12.6112790,6.4568859,4.7077469
12.7027346,6.2793973,4.6299473
12.7893290,6.1001894,4.5529682
12.8714716,5.9177408,4.4781354
12.9481966,5.7334627,4.4045934
13.0191443,5.5476181,4.3323596
13.0846312,5.3584920,4.2627693
13.1437252,5.1677560,4.1947174
13.1961312,4.9756970,4.1281838
13.2418987,4.7812865,4.0637072
13.2806011,4.5850642,4.0006642
13.3118285,4.3880528,3.9385557
13.3354176,4.1905124,3.8771546
13.3513487,3.9914803,3.8159222
13.3594686,3.7916318,3.7537264
13.3596966,3.5919794,3.7193949
13.3522149,3.3927255,3.7014243
13.3374931,3.1940403,3.6839600
13.3161283,2.9959810,3.6680524
13.2886829,2.7986692,3.6555522
13.2553971,2.6022235,3.6488082
13.2157868,2.4065357,3.6498888
13.1695343,2.2126949,3.6606967
13.1162640,2.0211431,3.6807763
13.0553881,1.8315751,3.7081247
12.9865646,1.6441233,3.7411323
12.9096949,1.4590645,3.7785691
12.8256483,1.2783206,3.8204240
12.7344442,1.1013840,3.8654443
12.6358462,0.9273947,3.9124935
12.5306444,0.7573234,3.9616403
12.4197941,0.5920609,4.0127140
12.3026544,0.4301028,4.0643745
12.1801565,0.2723151,4.1165794
12.0528894,0.1189646,4.1680719
11.9204858,-0.0307738,4.2188720
11.7838955,-0.1761434,4.2679726
11.6430909,-0.3174845,4.3163121
11.4981069,-0.4550054,4.3642127
11.3497854,-0.5881721,4.4116738
11.1977728,-0.7175679,4.4590887
11.0425275,-0.8430311,4.5064391
10.8843255,-0.9645774,4.5537284
10.7231772,-1.0824168,4.6009656
10.5594674,-1.1964708,4.6480084
10.3932223,-1.3069119,4.6948120
10.2246904,-1.4137461,4.7413926
10.0539206,-1.5170969,4.7873468
9.8811719,-1.6169470,4.8329838
9.7064594,-1.7134109,4.8779003
9.5298875,-1.8065354,4.9220972
9.3518229,-1.8962232,4.9658354
9.1718212,-1.9827768,5.0082379
8.9905785,-2.0659802,5.0500354
8.8078342,-2.1460208,5.0908240
8.6236727,-2.2228242,5.1301941
8.4381735,-2.2963125,5.1687966
8.2513284,-2.3664446,5.2055995
8.0632448,-2.4331553,5.2411378
7.8740442,-2.4963789,5.2755938
7.6835639,-2.5561371,5.3076424
7.4921040,-2.6123011,5.3386047
7.2996177,-2.6648521,5.3677351
7.1060628,-2.7137611,5.3947839
6.9117998,-2.7589031,5.4206857
6.7164967,-2.8003185,5.4442487
6.5204604,-2.8379037,5.4663907
6.3240208,-2.8715759,5.4874467
6.1264348,-2.9014295,5.5063500
5.9285787,-2.9273048,5.5243717
5.7304328,-2.9492020,5.5412605
5.5313974,-2.9671644,5.5557749
5.3324178,-2.9810924,5.5688649
5.1332759,-2.9910058,5.5799238
4.9335027,-2.9969101,5.5880289
4.7340795,-2.9987730,5.5943081
4.5347625,-2.9966152,5.5981967
4.3349524,-2.9904231,5.5989118
4.1357348,-2.9802389,5.5977074
3.9371499,-2.9661073,5.5944968
3.7379858,-2.9479498,5.5881088
3.5396104,-2.9259033,5.5800032
3.3420315,-2.9000188,5.5701867
3.1447606,-2.8702648,5.5583219
2.9478833,-2.8366693,5.5446176
2.7519468,-2.7993447,5.5296394
2.5569139,-2.7582780,5.5134681
2.3625182,-2.7133629,5.4959998
2.1691287,-2.6646567,5.4775470
1.9766598,-2.6121469,5.4584346
1.7851741,-2.5558046,5.4387543
1.5949225,-2.4956087,5.4185146
1.4060039,-2.4315330,5.3978727
1.2184009,-2.3635095,5.3770057
1.0322425,-2.2915210,5.3559648
0.8477105,-2.2155835,5.3347897
0.6648743,-2.1356745,5.3135615
0.4837989,-2.0517715,5.2923245
0.3046339,-1.9638947,5.2710958
0.1274793,-1.8720464,5.2499058
